Record ID,Band Name,Factory Status,Confidence,Official YouTube Channel,Most Popular Verified Video Title,Most Popular Verified Video URL,Selection Basis,Verified At,Permanent URL,Edition ID,QR Poster Variant,Failure / Omission Reason
JBX-WD-Q576457,The Panics,rejected,84,https://www.youtube.com/channel/UCo9JCaRLXEk9Gp6cA6Im9lg,40 Years of Dutch Hip-Hop,https://www.youtube.com/watch?v=QxGmRVBn3hk,most-viewed-official,2026-08-03T11:52:08.163Z,,,,A concise biography could not be extracted from an identity-verified official source.
JBX-WD-Q1036439,Hillsong United,rejected,90,https://www.youtube.com/channel/UCsOoQeBWPnfWBYAwmO795zg,Stay and Wait - Live at Team Night 2013 | Hillsong UNITED,https://www.youtube.com/watch?v=qb62p235Jco,most-viewed-official,2026-08-03T11:52:06.493Z,,,,At least four direct destinations must reach the mandatory 98% confidence gate for the locked six-key JookBox.
JBX-WD-Q5125089,Claim the Throne,rejected,80,,,,,2026-08-03T11:52:19.717Z,,,,The most-viewed embeddable video on the verified official YouTube channel could not be proved.
JBX-WD-Q5125404,Clairy Browne & The Bangin’ Rackettes,rejected,54,,,,,2026-08-03T11:52:11.992Z,,,,A concise biography could not be extracted from an identity-verified official source. | The most-viewed embeddable video on the verified official YouTube channel could not be proved. | At least four direct destinations must reach the mandatory 98% confidence gate for the locked six-key JookBox.
JBX-WD-Q5211330,Dallas Frasca,rejected,64,,,,,2026-08-03T11:52:22.210Z,,,,A concise biography could not be extracted from an identity-verified official source. | The most-viewed embeddable video on the verified official YouTube channel could not be proved.
JBX-WD-Q5550946,Gerling,rejected,84,https://www.youtube.com/channel/UCIjV2o7DfyAhbhBuT-CIBKw,Good Timing,https://www.youtube.com/watch?v=7F1S4_CYB_E,most-viewed-official,2026-08-03T11:52:22.741Z,,,,A concise biography could not be extracted from an identity-verified official source.
JBX-WD-Q5306414,"Dream On, Dreamer",rejected,84,https://www.youtube.com/channel/UCqpfplu0s02Yt6IBszJ_q5w,Dream on Dreamer - White Room (Official Music Video),https://www.youtube.com/watch?v=VYE28UcuezQ,most-viewed-official,2026-08-03T11:52:28.896Z,,,,A concise biography could not be extracted from an identity-verified official source.
JBX-WD-Q5379378,Enola Fall,rejected,64,,,,,2026-08-03T11:52:32.105Z,,,,A concise biography could not be extracted from an identity-verified official source. | The most-viewed embeddable video on the verified official YouTube channel could not be proved.
JBX-WD-Q5416497,Even As We Speak,rejected,80,,,,,2026-08-03T11:52:33.601Z,,,,The most-viewed embeddable video on the verified official YouTube channel could not be proved.
JBX-WD-Q2061634,The Presets,rejected,84,https://www.youtube.com/channel/UCH73vRRJj5lnLYc8l7L3nkg,Foreverafter 2027,https://www.youtube.com/watch?v=2HENJvoeH0M,most-viewed-official,2026-08-03T11:52:41.087Z,,,,A concise biography could not be extracted from an identity-verified official source.
JBX-WD-Q1618844,Hilltop Hoods,rejected,90,https://www.youtube.com/channel/UC3MvNfKIhwubtPr2LMOFSZA,Hilltop Hoods - Fall From The Light ft. Nyassa (Official Video),https://www.youtube.com/watch?v=kK9fljqwz-Q,most-viewed-official,2026-08-03T11:52:42.650Z,,,,At least four direct destinations must reach the mandatory 98% confidence gate for the locked six-key JookBox.
JBX-WD-Q1590496,Yothu Yindi,rejected,90,https://www.youtube.com/channel/UCCZdwusV2ScYxyWHy2FwuBw,Yothu Yindi - Dots on the Shells,https://www.youtube.com/watch?v=rhAv1IvJAFM,most-viewed-official,2026-08-03T11:52:49.748Z,,,,At least four direct destinations must reach the mandatory 98% confidence gate for the locked six-key JookBox.
JBX-WD-Q1898365,TISM,rejected,74,https://www.youtube.com/channel/UC7qw0Ps2BwboL1nfNC3bibA,TISM - On Behalf Of TISM I Would Like To Concede We Have Lost The Election,https://www.youtube.com/watch?v=PbPpSVUIxeg,most-viewed-official,2026-08-03T11:52:53.242Z,,,,A concise biography could not be extracted from an identity-verified official source. | At least four direct destinations must reach the mandatory 98% confidence gate for the locked six-key JookBox.
JBX-WD-Q1442656,John Butler Trio,rejected,64,,,,,2026-08-03T11:52:52.672Z,,,,A concise biography could not be extracted from an identity-verified official source. | The most-viewed embeddable video on the verified official YouTube channel could not be proved.
JBX-WD-Q1780510,Pseudo Echo,rejected,90,https://www.youtube.com/channel/UCEhbWk4sB9yJNFiiUQJAXzA,Pseudo Echo - Funkytown (Official Video),https://www.youtube.com/watch?v=uE-itlGNap4,most-viewed-official,2026-08-03T11:53:00.881Z,,,,At least four direct destinations must reach the mandatory 98% confidence gate for the locked six-key JookBox.
JBX-WD-Q4641147,5 Seconds of Summer,rejected,70,,,,,2026-08-03T11:53:05.037Z,,,,The most-viewed embeddable video on the verified official YouTube channel could not be proved. | At least four direct destinations must reach the mandatory 98% confidence gate for the locked six-key JookBox.
JBX-WD-Q6678880,Lord,rejected,54,,,,,2026-08-03T11:53:15.690Z,,,,A concise biography could not be extracted from an identity-verified official source. | The most-viewed embeddable video on the verified official YouTube channel could not be proved. | At least four direct destinations must reach the mandatory 98% confidence gate for the locked six-key JookBox.
JBX-WD-Q6723662,Machine Gun Fellatio,rejected,90,https://www.youtube.com/channel/UCrda_YK4AdTAFCNzKyfTkPQ,Hollywood,https://www.youtube.com/watch?v=tOoNb-TseFo,most-viewed-official,2026-08-03T11:53:09.944Z,,,,At least four direct destinations must reach the mandatory 98% confidence gate for the locked six-key JookBox.
JBX-WD-Q2246721,Hard-Ons,rejected,64,,,,,2026-08-03T11:53:20.787Z,,,,A concise biography could not be extracted from an identity-verified official source. | The most-viewed embeddable video on the verified official YouTube channel could not be proved.
JBX-WD-Q4970092,British India,rejected,64,,,,,2026-08-03T11:53:20.009Z,,,,A concise biography could not be extracted from an identity-verified official source. | The most-viewed embeddable video on the verified official YouTube channel could not be proved.
JBX-WD-Q2278773,Mournful Congregation,rejected,64,,,,,2026-08-03T11:53:28.291Z,,,,A concise biography could not be extracted from an identity-verified official source. | The most-viewed embeddable video on the verified official YouTube channel could not be proved.
JBX-WD-Q2234960,Hungry Kids of Hungary,rejected,64,,,,,2026-08-03T11:53:26.180Z,,,,A concise biography could not be extracted from an identity-verified official source. | The most-viewed embeddable video on the verified official YouTube channel could not be proved.
JBX-WD-Q5750135,Hi-5,rejected,90,https://www.youtube.com/channel/UCdVou-K8PKJIHPbqM3CzmAA,Hi-5 House Ep 42 - Christmas (2016),https://www.youtube.com/watch?v=ZHbT1iJOh20,most-viewed-official,2026-08-03T11:53:30.755Z,,,,At least four direct destinations must reach the mandatory 98% confidence gate for the locked six-key JookBox.
JBX-WD-Q4930371,Bluejuice,rejected,90,https://www.youtube.com/channel/UCuujTG4sk7_uLw98bImZ_Yg,Movies,https://www.youtube.com/watch?v=3RY94bv6_rY,most-viewed-official,2026-08-03T11:53:33.688Z,,,,At least four direct destinations must reach the mandatory 98% confidence gate for the locked six-key JookBox.
JBX-WD-Q7130823,Panel of Judges,rejected,90,https://www.youtube.com/channel/UCwAPSip2ymHE0vxwGS0Zn0g,Bugles on the Moon,https://www.youtube.com/watch?v=-OnfE8WDkzE,most-viewed-official,2026-08-03T11:53:34.804Z,,,,At least four direct destinations must reach the mandatory 98% confidence gate for the locked six-key JookBox.
JBX-WD-Q2761963,Pnau,rejected,84,https://www.youtube.com/channel/UCgddtt1rqF8_OpcO3-qFTMA,PNAU - Heart Beats feat. Marieme,https://www.youtube.com/watch?v=PlUwfQ_7XGM,most-viewed-official,2026-08-03T11:53:39.978Z,,,,A concise biography could not be extracted from an identity-verified official source.
JBX-WD-Q2380112,Gyroscope,rejected,80,,,,,2026-08-03T11:53:43.888Z,,,,The most-viewed embeddable video on the verified official YouTube channel could not be proved.
JBX-WD-Q3062076,Expatriate,rejected,84,https://www.youtube.com/channel/UCxWH3Yc-k4pklKrMs4g31eQ,Expatriate 'Skool',https://www.youtube.com/watch?v=X3yEO3NGj6Y,most-viewed-official,2026-08-03T11:53:41.709Z,,,,A concise biography could not be extracted from an identity-verified official source.
JBX-WD-Q3307572,Faker,rejected,54,,,,,2026-08-03T11:54:14.328Z,,,,A concise biography could not be extracted from an identity-verified official source. | The most-viewed embeddable video on the verified official YouTube channel could not be proved. | At least four direct destinations must reach the mandatory 98% confidence gate for the locked six-key JookBox.
JBX-WD-Q3629919,Austere,rejected,64,,,,,2026-08-03T11:53:47.209Z,,,,A concise biography could not be extracted from an identity-verified official source. | The most-viewed embeddable video on the verified official YouTube channel could not be proved.
JBX-WD-Q7738225,The Greencards,rejected,90,https://www.youtube.com/channel/UCdDIKLbRQDVy_-A2TY4zGqA,Kym 40th Aussie Video,https://www.youtube.com/watch?v=XN-ZVRyyr4M,most-viewed-official,2026-08-03T11:53:54.858Z,,,,At least four direct destinations must reach the mandatory 98% confidence gate for the locked six-key JookBox.
JBX-WD-Q7715496,The Bamboos,rejected,64,,,,,2026-08-03T11:53:53.512Z,,,,A concise biography could not be extracted from an identity-verified official source. | The most-viewed embeddable video on the verified official YouTube channel could not be proved.
JBX-WD-Q7621467,Strange Talk,rejected,84,https://www.youtube.com/channel/UC2LR7ucFS2m92iX8z12WM9g,Strange Talk - What Makes Strange Talk (Influences),https://www.youtube.com/watch?v=AZuAYDye8rs,most-viewed-official,2026-08-03T11:54:01.670Z,,,,A concise biography could not be extracted from an identity-verified official source.
